Ryan Castro-23,439,801-26,178-209-23,769,862
Panic! At The Disco-23,341,609-10,010-165-26,282,167
Ne-Yo-23,325,874--226-212-23,443,958
Tame Impala-23,291,277-27,637-162-26,702,310
JVKE-23,256,353-55,732-110-31,684,143
Romeo Santos-23,224,370-58,316-113-29,261,273
Megan Thee Stallion-23,182,615--45,727-163-26,534,644
Kim Petras-23,158,621-120,693-43-46,551,289
John Lennon-23,013,235-515,495-240-23,013,235
Calum Scott-22,982,681--13,244-131-28,397,540
Offset-22,902,673-29,079-183-24,969,472
JENNIE-22,875,770-236,725-241-22,875,770
Lord Huron-22,833,594-93,296-241-22,833,594
2Pac-22,814,875-13,362-189-24,294,167
Alok-22,803,444-2,653-179-24,714,883
Swedish House Mafia-22,793,541-16,111-187-24,899,684
Giveon-22,770,386-42,690-145-25,291,400
José Feliciano-22,715,857-770,022-249-22,715,857
Bastille-22,662,916-5,406-233-22,672,610
Lost Frequencies-22,545,689--4,029-175-25,658,430
Dave-22,455,475-3,736-135-29,100,809
Joji-22,391,005-18,855-116-29,284,554
D-Block Europe-22,358,557--4,014-239-22,419,768
Lorde-22,331,512--16,326-222-23,023,548
Vance Joy-22,323,948--7,069-188-24,815,037
Natanael Cano-22,259,219-44,723-167-25,627,596
Disney-22,243,187--57,776-201-24,054,234
Eslabon Armado-22,240,904-88,324-64-40,132,836
PinkPantheress-22,196,210-58,026-60-39,844,680
Billy Joel-22,168,070--25,739-227-22,858,255
Sachin-Jigar-22,129,627--8,944-186-24,755,766
Mark Ronson-22,124,435-31,168-189-23,123,246
Gabito Ballesteros-22,114,842-3,084-237-22,407,855
The Killers-22,104,625-2,429-239-22,479,122
Bruce Springsteen-22,104,457-275,051-266-22,104,457
Dr. Dre-22,084,325-27,189-199-23,239,378
Polo G-22,084,017-39,824-170-24,908,452
Brent Faiyaz-21,997,864-74,012-212-23,661,551
Plan B-21,996,810-44,280-260-21,996,810
Yandel-21,961,131-28,975-126-27,875,326
Summer Walker-21,927,273-5,876-240-22,202,025
Måneskin-21,925,126-37,475-134-26,818,201
Nicki Nicole-21,860,245-57,411-178-24,400,549
Aerosmith-21,859,574--30,982-201-23,447,874
Martin Garrix-21,799,196--15,030-175-23,962,214
a-ha-21,789,727--46,619-244-22,217,981
Yeat-21,767,559--37,564-149-28,149,740
The Ronettes-21,643,709-735,848-279-21,643,709
Gorillaz-21,637,836-30,875-54-41,977,704
Reik-21,475,409-60,111-253-21,475,409
Jennifer Lopez-21,448,576--17,683-207-23,502,805
U2-21,359,820-1,204-233-22,117,504
Tanishk Bagchi-21,259,627--6,449-214-23,360,299
Gwen Stefani-21,259,541-245,171-285-21,259,541
Bryan Adams-21,144,522-89,332-269-21,144,522
NewJeans-21,137,806-18,725-160-26,786,050
Glass Animals-21,127,017--41,450-132-28,077,809
Alessia Cara-21,122,088-182,458-289-21,122,088
El Alfa-21,106,852-27,148-235-22,792,431
Foo Fighters-21,098,399-23,667-231-22,630,908
Roddy Ricch-21,072,801-31,742-205-23,016,594
Lil Tecca-21,020,732-26,338-283-21,020,732
Udit Narayan-21,003,355--46,733-253-21,757,842
Duki-20,975,784-51,582-162-26,492,455
KK-20,885,970--44,991-261-21,374,247
Hotel Ugly-20,817,403-48,758-256-21,521,972
Clean Bandit-20,786,491--34,713-210-23,755,636
League of Legends-20,724,507--30,723-232-22,635,670
Luke Combs-20,716,249-13,841-210-23,778,371
Train-20,659,210-188,124-301-20,659,210
Tears For Fears-20,613,292--25,191-272-20,922,050
Chris Stapleton-20,552,538-66,720-300-20,552,538
Coi Leray-20,531,826-131,988-72-38,479,080
Cigarettes After Sex-20,507,814-62,340-301-20,507,814
Zion & Lennox-20,434,448--75,155-230-22,169,487
Em Beihold-20,428,238-37,098-135-26,666,031
The Notorious B.I.G.-20,393,313-84,156-202-23,352,541
Paramore-20,373,385-80,225-251-21,953,962
NLE Choppa-20,373,369-49,481-181-24,991,591
Anitta-20,320,742--38,970-151-24,747,002
Piso 21-20,269,833-105,152-303-20,269,833
Outkast-20,222,881--3,485-266-21,069,903
Oasis-20,182,009-11,490-279-20,347,804
5 Seconds of Summer-20,090,312--3,328-252-20,784,480
Eladio Carrion-20,010,352-10,738-156-26,738,598
Ruth B.-19,970,067-52,794-224-22,101,563
Rels B-19,925,167-127,655-295-20,144,359
Bing Crosby-19,903,097-630,296-319-19,903,097
Camilo-19,877,818-39,238-249-21,949,077
cassö-19,821,018--32,515-299-20,073,981
Shankar Mahadevan-19,816,766--16,595-294-20,077,016
A Boogie Wit da Hoodie-19,803,208-50,888-213-22,882,543
Phil Collins-19,796,053--26,559-267-20,868,436
Grupo Firme-19,734,628-88,894-313-19,734,628
Wisin & Yandel-19,729,254-9,859-173-23,350,285
Danny Ocean-19,709,977-64,906-270-19,709,977
Alec Benjamin-19,692,811-271,626-251-21,741,517
BLACKPINK-19,662,495-27,818-173-25,116,235
Julia Michaels-19,652,464-58,663-309-19,652,464
Elley Duhé-19,613,214-53,266-150-25,586,962
Migos-19,604,280-15,779-296-19,877,517
Darell-19,592,713--146,125-238-22,214,709
Luis Fonsi-19,558,736-7,570-214-23,290,182
Marvin Gaye-19,549,773-17,027-292-20,207,492
Jay Wheeler-19,539,630--12,938-300-19,882,978
Chino Pacas-19,442,741-58,090-337-19,442,741
Timbaland-19,405,613--62,257-256-21,725,657
Lauv-19,392,414--8,431-257-21,465,775
TINI-19,389,957--9,351-194-22,906,402
R3HAB-19,328,520--25,127-210-23,584,295
Skrillex-19,323,301-8,356-175-23,635,431
MEDUZA-19,257,676-8,527-222-22,148,251
Daft Punk-19,227,983-7,745-225-22,870,534
Jubin Nautiyal-19,099,936--36,500-241-22,249,499
Jonas Blue-19,090,486-13,405-226-22,821,691
TOTO-18,990,408--2,030-284-20,336,146
PARTYNEXTDOOR-18,899,132-37,457-268-21,137,562
Christian Nodal-18,899,109-82,142-226-20,998,189
Empire of the Sun-18,897,068-16,625-344-18,897,068
Niall Horan-18,885,949--42,501-129-27,578,996
Alka Yagnik-18,855,424--38,602-287-20,003,871
blink-182-18,805,885--17,401-268-21,210,348
Florence + The Machine-18,797,462--19,792-275-20,421,919
Sonu Nigam-18,638,165-113,695-339-18,638,165
The Beach Boys-18,593,470-299,780-356-18,593,470
Sech-18,589,803-23,273-174-23,591,625
YoungBoy Never Broke Again-18,565,083-81,073-288-19,051,130
Aqua-18,560,371--141,917-61-41,819,994
Pink Floyd-18,534,997--9,335-258-19,735,588
Ñengo Flow-18,508,031-5,582-207-22,145,574
Avril Lavigne-18,447,038--21,001-263-20,377,425
Backstreet Boys-18,421,558-38,847-326-19,179,557
Dean Lewis-18,414,836-38,846-266-19,535,547
Maná-18,409,613-26,721-334-18,466,024
Big Sean-18,402,049-6,989-252-20,137,963
Kesha-18,392,206--5,428-275-20,265,888
Darshan Raval-18,377,654--25,905-286-20,349,184
Anderson .Paak-18,339,066-23,492-197-22,604,620
Bryson Tiller-18,312,104-29,064-319-18,312,104
Felix Jaehn-18,209,716-1,315-194-22,767,105
TV Girl-18,209,695-91,164-372-18,209,695
Bon Iver-18,178,246-6,486-326-18,933,129
French Montana-18,167,538--37,694-260-21,335,705
G-Eazy-18,113,973-3,603-339-18,295,503
Juanes-18,096,030-14,205-332-18,476,449
Ovy On The Drums-18,087,881-39,534-256-19,658,860
Atif Aslam-18,082,750--36,529-344-18,411,058
The Cranberries-18,064,832--28,454-313-19,528,771
R.E.M.-18,055,994--32,962-332-18,434,788
MC Ryan SP-17,998,068-38,739-360-17,998,068
Jessie J-17,977,012-84,386-371-17,977,012
Milo j-17,957,036-110,470-265-21,285,336
Nelly-17,953,945--12,167-316-18,934,660
Baby Keem-17,941,632-45,326-313-19,003,131
The Jackson 5-17,937,301-417,998-386-17,937,301
The Goo Goo Dolls-17,913,592-18,186-376-17,913,592
Little Mix-17,900,363-91,513-287-18,369,704
System Of A Down-17,801,829-24,263-336-18,130,029
Laufey-17,789,645-293,413-390-17,789,645
My Chemical Romance-17,781,377-35,839-389-17,781,377
Mac DeMarco-17,777,074-16,917-318-18,145,084
B.o.B-17,744,386-12,898-312-19,279,361
Mohit Chauhan-17,714,158-13,015-325-18,491,100
Keane-17,709,602-38,032-384-17,709,602
De La Ghetto-17,692,377--25,925-238-20,551,958
FIFTY FIFTY-17,642,931-9,192-70-37,675,143
David Bowie-17,636,562-92,080-317-17,901,607
Aventura-17,628,322-18,327-350-17,628,322
Vishal Dadlani-17,618,929--3,494-307-19,035,408
Led Zeppelin-17,594,827--3,194-294-19,271,072
Dolly Parton-17,574,261-66,941-402-17,574,261
Céline Dion-17,566,700-225,012-403-17,566,700
The Script-17,566,463-21,843-357-17,958,065
Grupo Marca Registrada-17,559,891-68,543-401-17,559,891
The Offspring-17,424,772--8,793-309-18,974,256
Calle 24-17,412,600-57,033-403-17,412,600
Shankar-Ehsaan-Loy-17,397,676--1,728-400-17,399,404
girl in red-17,360,065-982-304-19,610,745
Vishal Mishra-17,298,158-202,386-330-18,712,627
Lukas Graham-17,257,619-50,063-407-17,257,619
Chinmayi-17,197,708--30,722-357-17,947,360
Journey-17,142,670--13,964-318-18,820,358
Jaani-17,123,260-287,752-414-17,123,260
Alesso-17,123,061--29,735-259-20,146,977
Mc Gw-17,060,441-10,906-385-17,060,441
beabadoobee-17,054,953--1,389-316-17,715,742
Jason Mraz-17,037,759-244,173-341-17,226,912
PNAU-17,030,284-273-220-22,323,897
Burna Boy-16,971,637--10,815-287-20,364,950
Dire Straits-16,970,996--10,064-331-17,760,775
Luis R Conriquez-16,926,175-35,308-323-18,605,177
Pentatonix-16,883,762-608,086-423-16,883,762
The Cure-16,866,696-18,610-354-17,197,307
Lily-Rose Depp-16,799,922-303,465-425-16,799,922
Bob Marley & The Wailers-16,792,475--7,972-278-20,574,539
Dominic Fike-16,759,488-19,581-270-20,806,994
Kylie Minogue-16,731,260-281,461-416-16,731,260
Passenger-16,727,017-41,874-422-16,727,017
Luis Miguel-16,638,208-105,607-309-18,979,295
Lizzo-16,613,689--15,529-105-30,100,497
Tiago PZK-16,594,595-11,932-244-22,253,606
B Praak-16,525,538-249,570-406-16,525,538
Burl Ives-16,495,849-563,130-434-16,495,849
blackbear-16,422,702-2,599-259-19,962,853
Bill Withers-16,416,821-10,524-406-16,524,278
Carly Rae Jepsen-16,403,063--15,930-317-18,869,973
Amy Winehouse-16,384,532-8,101-413-16,441,365
MC Kevin o Chris-16,381,380-3,270-317-19,054,899
Sunidhi Chauhan-16,377,317--39,811-385-16,752,575
Eyedress-16,322,406-44,817-432-16,322,406
Justin Quiles-16,244,760-1,904-223-21,467,956
Becky Hill-16,242,180-998-257-20,058,164
Perry Como-16,233,022-577,784-444-16,233,022
Gucci Mane-16,214,259--18,947-401-16,561,931
Yng Lvcas-16,203,746-19,517-101-32,431,402
Christina Perri-16,142,271--3,349-424-16,151,399
Earth, Wind & Fire-16,113,832-9,942-315-19,473,930
Lil Tjay-16,108,783-13,937-268-19,548,091
Destiny's Child-16,089,716-125,250-450-16,089,716
Russ-16,058,492-44,463-365-17,041,050
Banda MS de Sergio Lizárraga-16,050,234-62,655-393-16,144,034
Mc Don Juan-16,027,493-27,408-440-16,027,493
Gesaffelstein-15,909,015-40,450-273-18,995,025
Brray-15,907,967--7,213-405-16,628,955
Kings of Leon-15,897,845--7,166-413-15,953,550
George Ezra-15,894,032-31,928-291-18,364,138
Teddy Swims-15,885,886-153,667-458-15,885,886
Zedd-15,817,165--6,096-317-16,864,646
Prince Royce-15,803,579-30,545-339-17,608,087
Badshah-15,789,744-30,859-404-16,659,092
Jesse & Joy-15,785,158-40,690-445-15,785,158
Sachet Tandon-15,775,109-6,776-363-17,257,983
Emilia-15,685,364--10,082-337-18,124,895
Kumaar-15,648,981-4,960-316-17,005,446
Nickelback-15,642,360-23,767-399-16,791,233
Jasleen Royal-15,633,671--40,474-298-19,931,406
Ana Castela-15,592,226-29,973-433-15,925,084
Jonita Gandhi-15,576,091--3,441-337-18,322,100
Robbie Williams-15,551,342-119,944-470-15,551,342
070 Shake-15,544,335-69,540-101-30,903,161
Shaggy-15,483,797--960-328-18,459,819
Himesh Reshammiya-15,470,198--9,375-457-15,489,456
benny blanco-15,465,603--8,582-292-18,291,830
Neeti Mohan-15,458,793--3,726-454-15,496,847
Ella Fitzgerald-15,452,103-413,794-476-15,452,103
Tove Lo-15,441,476--50,616-321-16,726,850
NF-15,436,068-11,045-275-19,447,227
Lenny Tavárez-15,423,025--23,705-425-15,519,445
Cris Mj-15,386,137-19,840-276-19,079,138
Chuck Berry-15,379,814-326,748-481-15,379,814
Clairo-15,374,945--1,275-452-15,499,777
Cyndi Lauper-15,327,245-14,138-402-16,392,835
Mithoon-15,324,006--17,207-448-15,521,280
Eden Muñoz-15,316,902-45,842-367-17,438,441
Meek Mill-15,298,567-16,954-393-15,553,179
Steve Aoki-15,293,715-6,302-216-21,606,912
Chase Atlantic-15,279,710-31,811-476-15,279,710
Morat-15,265,736-21,737-344-15,733,395
Julieta Venegas-15,249,042-10,109-427-15,503,052
Bryant Myers-15,239,927--5,137-341-18,758,660
Bad Gyal-15,211,292-26,399-405-16,628,326
Tems-15,200,718-51,270-439-15,358,654
Asees Kaur-15,190,108--17,078-420-15,457,624
Los Ángeles Azules-15,189,863-16,697-411-16,388,259
Louis Armstrong-15,184,508-202,434-496-15,184,508
Ice Cube-15,173,382--13,409-325-18,290,286
John Mayer-15,163,365--12,041-327-17,101,929
Yo Yo Honey Singh-15,152,315--54,483-427-15,996,095
The White Stripes-15,134,728-23,172-408-15,821,105
Peggy Gou-15,091,832--21,998-215-23,511,011
Boney M.-15,073,303-187,842-502-15,073,303
Kunaal Vermaa-15,061,647--36,254-427-15,996,936
Neha Kakkar-15,031,265--2,192-397-15,937,303
Paulo Londra-15,030,739-21,765-401-15,253,786
Lil Yachty-15,011,400-77,181-376-17,590,452
Tokischa-14,944,195--15,597-394-16,960,884
Lil Peep-14,934,901-7,755-387-15,038,447
sped up nightcore-14,903,925-45,641-300-17,931,530
Ricky Martin-14,890,056-4,902-365-15,850,419
Armaan Malik-14,846,505--8,890-381-16,761,065
Oliver Tree-14,821,665-13,637-85-33,995,315
*NSYNC-14,805,886-240,165-513-14,805,886
Nile Rodgers-14,770,586--11,042-277-20,102,441
Tony Dize-14,734,655--1,790-481-14,779,245
Tulsi Kumar-14,712,750--41,715-450-15,393,249
DJ Nelson-14,675,105--19,745-487-14,836,809
NAV-14,670,949--11,693-203-24,009,796
Amaal Mallik-14,651,726--423-482-14,978,679
Annie Lennox-14,651,656--18,833-435-15,783,651
Imanbek-14,627,414--24,909-280-18,669,813
Javed Ali-14,624,299--44,690-459-15,362,364
6LACK-14,611,063--12,317-321-16,978,376
Dani Flow-14,550,277-114,522-524-14,550,277
Dan + Shay-14,525,161-190,364-388-15,689,498
Cher-14,395,915-138,759-526-14,395,915
Beéle-14,385,576-5,079-352-17,704,790
Lynyrd Skynyrd-14,383,520--23,316-389-16,572,873
Yoko Ono-14,371,958-584,988-529-14,371,958
Melanie Martinez-14,343,103-32,717-257-20,251,491
Nikhita Gandhi-14,341,193--53,869-485-14,908,425
Wisin-14,327,670-1,385-405-15,614,069
The Smiths-14,230,433-53,430-520-14,230,433
Rochak Kohli-14,194,799--42,926-470-14,635,559
Shania Twain-14,186,026--38,057-352-17,682,454
Armin van Buuren-14,179,719-1,989-440-15,231,658
Cage The Elephant-14,166,559-26,132-504-14,166,559
Black Sabbath-14,112,389-32,594-465-14,893,011
Rick Ross-14,026,767-803-516-14,026,767
Oscar Maydon-14,011,123-49,647-523-14,011,123
Sexyy Red-13,977,367-84,321-413-16,366,606
Topic-13,954,987--25,416-343-16,634,144
The Game-13,929,905--5,290-508-13,935,195
DJ Luian-13,916,406-27,223-293-19,413,064
Benson Boone-13,894,612-52,797-488-14,307,536
Gabry Ponte-13,879,222-9,258-379-15,543,123
Joel Corry-13,875,200--8,918-301-18,601,830
Rae Sremmurd-13,872,303-64-412-15,144,345
2 Chainz-13,802,703-20,162-518-13,821,264
Charli XCX-13,784,146--89,633-205-24,071,976
